------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <data/random.spritz>
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
144   1   0   1   2   0   1   0   1   0  0.000000 *  150/150     Frequency
  1   1   0   2   0   0   1 144   0   1  0.000000 *  150/150     BlockFrequency
143   1   0   1   1   1   1   2   0   0  0.000000 *  150/150     CumulativeSums
143   2   0   1   1   2   0   1   0   0  0.000000 *  150/150     CumulativeSums
  1   1   3   0 143   0   1   0   1   0  0.000000 *  150/150     Runs
  0 145   0   1   1   0   1   1   1   0  0.000000 *  150/150     LongestRun
  0   1   0 145   0   1   1   1   1   0  0.000000 *  150/150     Rank
  0   3   1   1   0   0   0   2 143   0  0.000000 *  150/150     FFT
  0   0   3   1 142   2   0   2   0   0  0.000000 *  150/150     NonOverlappingTemplate
  0   2   2   0 142   0   1   2   1   0  0.000000 *  150/150     NonOverlappingTemplate
  0   1   0   1 144   1   2   0   0   1  0.000000 *  150/150     NonOverlappingTemplate
  2   0   0   1 143   0   3   0   0   1  0.000000 *  150/150     NonOverlappingTemplate
  2   3   0   0 142   1   0   0   1   1  0.000000 *  150/150     NonOverlappingTemplate
  0   0   2   1 142   0   1   2   1   1  0.000000 *  150/150     NonOverlappingTemplate
  1   1   2   0 142   0   2   0   1   1  0.000000 *  150/150     NonOverlappingTemplate
  1   0   2   0 142   0   0   1   1   3  0.000000 *  150/150     NonOverlappingTemplate
  0   1   1   1 142   1   0   2   0   2  0.000000 *  150/150     NonOverlappingTemplate
  0   1   1   1 143   2   0   0   0   2  0.000000 *  150/150     NonOverlappingTemplate
  0   1   2   0 143   0   0   3   1   0  0.000000 *  150/150     NonOverlappingTemplate
  1   0   2   0 143   1   1   1   1   0  0.000000 *  150/150     NonOverlappingTemplate
  1   1   0   2 142   3   0   0   0   1  0.000000 *  150/150     NonOverlappingTemplate
  0   2   0   0 142   1   0   2   1   2  0.000000 *  150/150     NonOverlappingTemplate
  1   0   1   0 143   1   2   0   0   2  0.000000 *  150/150     NonOverlappingTemplate
  0   1   1   0 143   0   1   0   2   2  0.000000 *  150/150     NonOverlappingTemplate
  0   1   2   1 143   0   1   2   0   0  0.000000 *  150/150     NonOverlappingTemplate
  0   1   0   0 143   0   2   3   0   1  0.000000 *  150/150     NonOverlappingTemplate
  2   1   0   0 144   0   0   0   2   1  0.000000 *  150/150     NonOverlappingTemplate
  0   4   0   1 142   0   0   0   1   2  0.000000 *  150/150     NonOverlappingTemplate
  0   0   2   1 142   0   1   1   2   1  0.000000 *  150/150     NonOverlappingTemplate
  0   3   1   0 144   1   0   0   0   1  0.000000 *  150/150     NonOverlappingTemplate
  0   1   0   0 143   0   2   1   1   2  0.000000 *  150/150     NonOverlappingTemplate
  1   0   2   0 143   2   2   0   0   0  0.000000 *  150/150     NonOverlappingTemplate
  1   0   2   1 144   1   0   0   1   0  0.000000 *  150/150     NonOverlappingTemplate
  2   1   0   0 142   1   0   2   0   2  0.000000 *  150/150     NonOverlappingTemplate
  0   0   1   2 143   0   0   1   2   1  0.000000 *  150/150     NonOverlappingTemplate
  0   1   2   1 142   1   1   0   0   2  0.000000 *  150/150     NonOverlappingTemplate
  2   1   1   0 143   0   0   2   1   0  0.000000 *  150/150     NonOverlappingTemplate
  0   0   1   1 142   2   1   1   1   1  0.000000 *  150/150     NonOverlappingTemplate
  1   2   1   0 144   1   0   0   0   1  0.000000 *  150/150     NonOverlappingTemplate
  1   2   1   0 143   0   1   0   1   1  0.000000 *  150/150     NonOverlappingTemplate
  0   1   1   1 142   0   3   1   0   1  0.000000 *  150/150     NonOverlappingTemplate
  2   1   1   0 142   1   0   1   0   2  0.000000 *  150/150     NonOverlappingTemplate
  0   2   1   1 144   0   1   0   0   1  0.000000 *  150/150     NonOverlappingTemplate
  1   0   2   1 143   0   0   2   1   0  0.000000 *  150/150     NonOverlappingTemplate
  2   2   1   1 143   0   0   0   0   1  0.000000 *  150/150     NonOverlappingTemplate
  1   3   1   1 142   0   1   0   1   0  0.000000 *  150/150     NonOverlappingTemplate
  0   1   0   2 142   0   2   1   1   1  0.000000 *  150/150     NonOverlappingTemplate
  2   2   1   1 142   0   0   0   1   1  0.000000 *  150/150     NonOverlappingTemplate
  0   1   1   2 142   0   1   0   1   2  0.000000 *  150/150     NonOverlappingTemplate
  0   1   2   0 143   1   2   1   0   0  0.000000 *  150/150     NonOverlappingTemplate
  2   0   2   2 142   1   0   0   1   0  0.000000 *  150/150     NonOverlappingTemplate
  1   1   4   0 142   0   0   1   1   0  0.000000 *  149/150     NonOverlappingTemplate
  1   2   0   3 143   1   0   0   0   0  0.000000 *  150/150     NonOverlappingTemplate
  1   1   3   0 142   0   0   1   2   0  0.000000 *  150/150     NonOverlappingTemplate
  1   2   0   0 142   2   0   2   1   0  0.000000 *  150/150     NonOverlappingTemplate
  0   0   0   1 143   0   2   2   0   2  0.000000 *  150/150     NonOverlappingTemplate
  1   1   1   1 143   1   1   0   1   0  0.000000 *  150/150     NonOverlappingTemplate
  2   2   0   0 143   0   1   0   2   0  0.000000 *  149/150     NonOverlappingTemplate
  0   0   1   2 142   0   1   0   3   1  0.000000 *  150/150     NonOverlappingTemplate
  0   1   1   1 142   1   0   1   2   1  0.000000 *  150/150     NonOverlappingTemplate
  0   1   0   1 143   3   0   1   0   1  0.000000 *  150/150     NonOverlappingTemplate
  0   1   0   1 143   0   2   1   0   2  0.000000 *  150/150     NonOverlappingTemplate
  0   1   1   1 142   0   1   2   2   0  0.000000 *  150/150     NonOverlappingTemplate
  1   0   1   4 143   0   1   0   0   0  0.000000 *  150/150     NonOverlappingTemplate
  1   1   0   3 142   0   2   0   0   1  0.000000 *  150/150     NonOverlappingTemplate
  0   1   2   0 144   1   1   0   0   1  0.000000 *  150/150     NonOverlappingTemplate
  2   1   0   2 142   2   0   0   1   0  0.000000 *  149/150     NonOverlappingTemplate
  3   2   1   0 142   0   0   2   0   0  0.000000 *  150/150     NonOverlappingTemplate
  0   0   1   1 142   1   2   1   1   1  0.000000 *  150/150     NonOverlappingTemplate
  1   2   0   0 145   1   1   0   0   0  0.000000 *  150/150     NonOverlappingTemplate
  2   0   0   1 144   0   2   1   0   0  0.000000 *  150/150     NonOverlappingTemplate
  1   0   0   2 143   0   1   0   0   3  0.000000 *  150/150     NonOverlappingTemplate
  1   0   1   1 142   3   0   1   1   0  0.000000 *  150/150     NonOverlappingTemplate
  0   1   3   1 142   0   0   1   1   1  0.000000 *  150/150     NonOverlappingTemplate
  0   0   0   1 142   4   1   1   1   0  0.000000 *  150/150     NonOverlappingTemplate
  1   0   1   0 142   0   4   1   0   1  0.000000 *  150/150     NonOverlappingTemplate
  1   2   1   1 142   1   0   0   1   1  0.000000 *  150/150     NonOverlappingTemplate
  1   1   0   0 142   0   1   2   3   0  0.000000 *  150/150     NonOverlappingTemplate
  1   0   1   3 142   1   0   2   0   0  0.000000 *  150/150     NonOverlappingTemplate
  1   2   0   0 142   3   1   0   0   1  0.000000 *  149/150     NonOverlappingTemplate
  1   0   1   0 143   1   0   2   1   1  0.000000 *  150/150     NonOverlappingTemplate
  1   1   0   0 144   0   1   0   3   0  0.000000 *  150/150     NonOverlappingTemplate
  0   0   3   1 142   2   0   2   0   0  0.000000 *  150/150     NonOverlappingTemplate
  0   2   0   0 142   1   1   2   2   0  0.000000 *  150/150     NonOverlappingTemplate
  1   1   1   0 143   1   2   0   1   0  0.000000 *  150/150     NonOverlappingTemplate
  1   0   1   0 143   1   2   0   1   1  0.000000 *  150/150     NonOverlappingTemplate
  2   1   0   1 143   1   2   0   0   0  0.000000 *  150/150     NonOverlappingTemplate
  2   1   0   1 143   1   0   0   0   2  0.000000 *  150/150     NonOverlappingTemplate
  1   0   1   0 142   1   1   1   0   3  0.000000 *  150/150     NonOverlappingTemplate
  2   1   0   1 142   2   1   0   0   1  0.000000 *  150/150     NonOverlappingTemplate
