Bit,Message,Hashes,Cycle pos,Cycle Node
8,bF41ff,26,21,AF
8,571e7e,22,7,91
8,dc20cD,15,0,DB
8,9D06F3,14,9,AF
8,3e5333,33,28,AF
8,A8ceFD,20,15,AF
16,879bac,200,14,DD1A
16,8b20dD,271,85,C9BE
16,cDf6A0,306,120,C9BE
16,fBAdCa,289,62,C7FC
16,eCc4eb,344,158,C9BE
16,Aeef4F,358,172,C9BE
24,dFFb3f,1435,207,D303F1
24,9c42fc,1701,1069,F747C1
24,da2FD9,5416,4188,487643
24,C992c8,1493,265,08FAB4
24,0A2EAD,4326,3694,F747C1
24,0c1Fb1,5213,3985,487643
32,f85AaB,142214,112462,E6398FC0
32,91Ef2a,66678,61807,8D4279DF
32,3EE1ae,71873,67002,8D4279DF
32,772cC4,63972,34220,E6398FC0
32,Af004F,10028,2299,C0487E10
32,3B8E56,15916,11045,8D4279DF
