Bit,Message,Hashes,Cycle pos,Cycle Node
8,E3CD24,0,18,AF
8,1Ba6f6,0,2,91
8,eC7C8a,0,2,91
8,7a6650,0,0,91
8,FB0dD1,0,10,91
8,A03dE3,0,9,AF
8,C01BA1,0,24,AF
8,b0dfcE,0,2,AF
8,Cd8bFd,0,0,AF
8,a0149E,0,28,AF
8,7aC89c,0,7,99
8,294e5c,0,0,00
8,f1Ff70,0,14,AF
8,b2Ea5C,0,10,91
8,ECcC5d,0,30,AF
8,9a49A4,0,8,91
8,30c729,0,4,91
8,a6B9f7,0,5,99
8,b9CE7e,0,9,AF
8,cfcffa,0,2,23
8,FDFA97,0,5,B7
8,9d8eb2,0,17,AF
8,1ED2e8,0,17,AF
8,c381be,0,15,AF
8,DBcfFc,0,10,91
8,4aEEa9,0,7,91
8,8Bf1ae,0,8,91
8,9FC1cE,0,5,F8
8,f2AFAd,0,4,91
8,5ef4AE,0,1,DB
8,fFABdE,0,3,91
8,c13b8F,0,4,91
8,EACB7E,0,20,AF
8,4CbBcE,0,0,0A
8,2cfd5b,0,1,B7
8,dbfac0,0,1,B7
8,f28d9e,0,15,AF
8,dcd296,0,28,AF
8,cbbF59,0,4,10
8,dBDcDe,0,19,AF
8,1A5C62,0,2,AF
8,c4e5E0,0,11,91
8,d1C5bb,0,2,23
8,9DeEED,0,14,AF
8,Fa9cac,0,28,AF
8,01bd39,0,0,8D
8,ab6e2b,0,11,AF
8,24c406,0,6,AF
8,9F1e95,0,12,AF
8,4F77CB,0,1,91
8,f88678,0,19,AF
8,E2efF6,0,0,F8
8,51AfdF,0,2,91
8,e2ae61,0,2,91
8,ce4Bf4,0,3,AF
8,2eD78f,0,8,AF
8,0E7c2b,0,3,AF
8,C75Cdb,0,12,AF
8,0F9Cff,0,2,91
8,7F1ac9,0,0,99
8,b58ffd,0,16,AF
8,ED722b,0,7,91
8,800caE,0,28,AF
8,60Fa8B,0,6,99
8,EbadCC,0,5,23
8,cd72ce,0,11,91
8,8de2bC,0,15,AF
8,b98Bd1,0,17,AF
8,A3fE22,0,2,91
8,3DacfC,0,5,B7
8,da7232,0,2,10
8,Bb4F2c,0,12,AF
8,1A9A4d,0,1,91
8,EA0Ea3,0,6,F8
8,cf886e,0,9,91
8,8c6cE3,0,20,AF
8,59D85d,0,0,E8
8,b9C8E8,0,1,1F
8,073Ca4,0,16,91
8,BF3bDD,0,8,91
8,60eb19,0,2,B8
8,564f7d,0,11,AF
8,82bdb2,0,10,AF
8,f7aef6,0,4,B7
8,f6ADCC,0,5,B7
8,79EE6F,0,5,B7
8,9Eca21,0,11,91
8,DEe374,0,7,99
8,e61f9b,0,0,B7
8,cf3D26,0,15,AF
8,a183c0,0,15,AF
8,5Bffdf,0,18,AF
8,1049ce,0,10,AF
8,00147A,0,5,91
8,3c1d57,0,3,AF
8,dfBE78,0,1,DB
8,D649d3,0,1,8D
8,B24C26,0,30,AF
8,B5bD00,0,3,F8
8,878A9a,0,0,AF
16,B9dC8f,0,21,717A
16,FadA8D,0,58,7E42
16,F6ed0B,0,43,C7FC
16,7CFba9,0,85,8DBC
16,B260A4,0,10,62BD
16,08abDC,0,88,C9BE
16,7F1d7f,0,71,0CF8
16,1368FE,0,164,C9BE
16,8Da5d8,0,122,C9BE
